Family,Genus,Species,Infraspecific rank,Infraspecific epithet,Authorship_edit,edited
Lamiaceae,Vitex,negundo,var.,cannabifolia,(Siebold & Zucc.) Hand.-Mazz.,(Siebold & Zucc.) Hand.-Mazz.
Lamiaceae,Vitex,negundo,var.,microphylla,Hand.-Mazz.,Hand.-Mazz.
Saxifragaceae,Saxifraga,nelsoniana,var.,carlottae,(Calder & Savile) H.Ohba,(Calder & Savile) H.Ohba
Piperaceae,Piper,nematanthera,var.,sagotii,(C. DC.) Trel. & Yunck.,(C. DC.) Trel. & Yunck.
Violaceae,Viola,nemoralis,var.,abbreviata,Vl.V.Nikitin,Vl.V.Nikitin
Poaceae,Festuca,nemorosa,var.,calabrica,"(Huter, Porta & Rigo) Fiori","(Huter, Porta & Rigo) Fiori"
Poaceae,Festuca,nemorosa,var.,croatica,(Hack.) Fiori,(Hack.) Fiori
Cyperaceae,Hypolytrum,nemorum,var.,proliferum,(Boeckeler) J.Kern,(Boeckeler) J.Kern
Compositae,Packera,neomexicana,var.,mutabilis,(Greene) W.A.Weber & .Lve,(Greene) W.A.Weber & .Lve
Compositae,Packera,neomexicana,var.,toumeyi,(Greene) Trock & T.M.Barkley,(Greene) Trock & T.M.Barkley
Leguminosae,Dalea,neomexicana,var.,longipila,(Rydb.) Barneby,(Rydb.) Barneby
Leguminosae,Robinia,neomexicana,var.,rusbyi,(Wooton & Standl.) Peabody,(Wooton & Standl.) Peabody
Malvaceae,Sidalcea,neomexicana,var.,parviflora,(Greene) Roush,(Greene) Roush
Verbenaceae,Verbena,neomexicana,var.,hirtella,L.M.Perry,L.M.Perry
Amaranthaceae,Chenopodium,neomexicanum,var.,palmeri,(Standl.) T.W.Walters,(Standl.) T.W.Walters
Compositae,Carpesium,nepalense,var.,ciliatum,(Hook.f.) S.Kumar,(Hook.f.) S.Kumar
Compositae,Carpesium,nepalense,var.,glandulosum,(Hook.f. & Thomson ex C.B.Clarke) Qaiser & Abid,(Hook.f. & Thomson ex C.B.Clarke) Qaiser & Abid
Compositae,Carpesium,nepalense,var.,griffithii,(Hook.f.) S.Kumar,(Hook.f.) S.Kumar
Compositae,Carpesium,nepalense,var.,lanatum,(C.B.Clarke) Kitam.,(C.B.Clarke) Kitam.
Compositae,Carpesium,nepalense,var.,nilagiricum,(C.B.Clarke) S.Kumar,(C.B.Clarke) S.Kumar
Compositae,Carpesium,nepalense,var.,pedunculosa,(C.B.Clarke) S.Kumar,(C.B.Clarke) S.Kumar
Orchidaceae,Satyrium,nepalense,var.,ciliatum,(Lindl.) Hook.f.,(Lindl.) Hook.f.
Compositae,Anaphalis,nepalensis,var.,corymbosa,(Bureau & Franch.) Hand.-Mazz.,(Bureau & Franch.) Hand.-Mazz.
Compositae,Anaphalis,nepalensis,var.,monocephala,(DC.) Hand.-Mazz.,(DC.) Hand.-Mazz.
Polygonaceae,Rumex,nepalensis,var.,remotiflorus,(Sam.) A.J. Li,(Sam.) A.J. Li
Lamiaceae,Leonotis,nepetifolia,var.,africana,(P.Beauv.) J.K.Morton,(P.Beauv.) J.K.Morton
Euphorbiaceae,Acalypha,neptunica,var.,pubescens,(Pax) Hutch.,(Pax) Hutch.
Ericaceae,Rhododendron,neriiflorum,var.,agetum,(Balf. f. & Forrest) T.L. Ming,(Balf. f. & Forrest) T.L. Ming
Ericaceae,Rhododendron,neriiflorum,var.,appropinquans,(Tagg & Forrest) W.K. Hu,(Tagg & Forrest) W.K. Hu
Orchidaceae,Liparis,nervosa,var.,khasiana,(Hook.f.) P.K.Sarkar,(Hook.f.) P.K.Sarkar
Orchidaceae,Paphinia,neudeckeri,var.,mocoaensis,Jenny,Jenny
Phyllanthaceae,Antidesma,neurocarpum,var.,hosei,(Pax & K.Hoffm.) Petra Hoffm.,(Pax & K.Hoffm.) Petra Hoffm.
Phyllanthaceae,Antidesma,neurocarpum,var.,linearifolium,(Pax & K.Hoffm.) Petra Hoffm.,(Pax & K.Hoffm.) Petra Hoffm.
Rubiaceae,Hymenocoleus,neurodictyon,var.,orientalis,(Verdc.) Robbr.,(Verdc.) Robbr.
Grossulariaceae,Ribes,nevadaense,var.,grantii,(A. Heller) A. Berger,(A. Heller) A. Berger
Grossulariaceae,Ribes,nevadaense,var.,jasperae,(Eastw.) Jancz.,(Eastw.) Jancz.
Apiaceae,Lomatium,nevadense,var.,parishii,(J.M. Coult. & Rose) Jeps.,(J.M. Coult. & Rose) Jeps.
