Family,Genus,Species,Infraspecific rank,Infraspecific epithet,Authorship_edit,edited
Compositae,Conyzigeron,huelsenii,,,(Vatke) Rauschert,(Vatke) Rauschert
Compositae,Cirsiocarduus,jaubertianus,,,Arnes,Arnes
Poaceae,Agroelymus,adamsii,,,J.Rousseau,J.Rousseau
Rosaceae,Sorbaronia,alpina,,,(Willd.) C.K.Schneid.,(Willd.) C.K.Schneid.
Poaceae,Elymotrigia,altaica,,,Kotukhov,Kotukhov
Orchidaceae,Gymnanacamptis,anacamptis,,,(F.Wilms) Asch. & Graebn.,(F.Wilms) Asch. & Graebn.
Orchidaceae,Serapicamptis,anatolica,,,(Renz & Taubenheim) J.M.H.Shaw,(Renz & Taubenheim) J.M.H.Shaw
Orchidaceae,Serapicamptis,andaluciana,,,"(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr.","(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr."
Orchidaceae,Orchiplatanthera,andreasii,,,Kmpel,Kmpel
Poaceae,Agrotrigia,androssovii,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Poaceae,Elyhordeum,arachleicum,,,Peschkova,Peschkova
Orchidaceae,Brassocattleya,arauji,,,Pabst & A.F.Mello,Pabst & A.F.Mello
Orchidaceae,Dactylodenia,aravardii,,,M.Gerbaud & O.Gerbaud,M.Gerbaud & O.Gerbaud
Poaceae,Elyhordeum,arcuatum,,,W.W.Mitch. & H.J.Hodgs.,W.W.Mitch. & H.J.Hodgs.
Rosaceae,Sorbaronia,arsenii,,,(Britton ex L.Arsne) G.N.Jones,(Britton ex L.Arsne) G.N.Jones
Orchidaceae,Pseudinium,aschersonianum,,,(Brgger & Killias) P.F.Hunt,(Brgger & Killias) P.F.Hunt
Orchidaceae,Orchidactylorhiza,atacina,,,(P.Delforge) P.Delforge,(P.Delforge) P.Delforge
Orchidaceae,Orchinea,attica,,,(Hausskn.) F.M.Vzquez,(Hausskn.) F.M.Vzquez
Poaceae,Elymotrigia,austroaltaica,,,Kotukhov,Kotukhov
Poaceae,Elymotrigia,azutavica,,,Kotukhov,Kotukhov
Poaceae,Elymostachys,badachschanica,,,Tzvelev,Tzvelev
Poaceae,Ammocalamagrostis,baltica,,,(Flgg ex Schrad.) P.Fourn.,(Flgg ex Schrad.) P.Fourn.
Orchidaceae,Serapicamptis,barlae,,,(K.Richt.) J.M.H.Shaw,(K.Richt.) J.M.H.Shaw
Poaceae,Agrotrigia,berelica,,,Kotukhov,Kotukhov
Poaceae,Leymotrigia,bergrothii,,,(H.Lindb.) Tzvelev,(H.Lindb.) Tzvelev
Poaceae,Elyhordeum,berkeleyanum,,,(Bowden) Bowden,(Bowden) Bowden
Orchidaceae,Serapicamptis,bevilacquae,,,(Penz.) J.M.H.Shaw,(Penz.) J.M.H.Shaw
Xanthorrhoeaceae,Astroworthia,bicarinata,,,(Haw.) G.D.Rowley,(Haw.) G.D.Rowley
Poaceae,Triticosecale,blaringhemii,,,A.Camus,A.Camus
Poaceae,Stiporyzopsis,bloomeri,,,(Bol.) B.L.Johnson,(Bol.) B.L.Johnson
Poaceae,Elymotrigia,bobrovica,,,Kotukhov,Kotukhov
Compositae,Carduocirsium,borderei,,,(Rouy) P.Fourn.,(Rouy) P.Fourn.
Compositae,Cirsiocarduus,borderi,,,(Rouy) Arnes,(Rouy) Arnes
Orchidaceae,Gymplatanthera,borelii,,,L.C.Lamb.,L.C.Lamb.
Poaceae,Agroelymus,bowdenii,,,B.Boivin,B.Boivin
Poaceae,Elyhordeum,bowes-lyonii,,,(Melderis) Melderis,(Melderis) Melderis
Poaceae,Festulolium,braunii,,,(K.Richt.) A.Camus,(K.Richt.) A.Camus
Orchidaceae,Pseudanthera,breadalbanensis,,,McKean,McKean
Poaceae,Danthosieglingia,breviaristata,,,(Beck) Domin,(Beck) Domin
Poaceae,Festulolium,brinkmannii,,,(A.Braun) Asch. & Graebn.,(A.Braun) Asch. & Graebn.
Orchidaceae,Pseudorhiza,bruniana,,,(Brgger) P.F.Hunt,(Brgger) P.F.Hunt
Orchidaceae,Pseudorhiza,bulgarica,,,(D.Lindig) O.Gerbaud & W.Schmid,(D.Lindig) O.Gerbaud & W.Schmid
Amaryllidaceae,Calicharis,butcheri,,,(Traub) Meerow,(Traub) Meerow
Poaceae,Elyhordeum,californicum,,,(Bowden) Barkworth,(Bowden) Barkworth
Orchidaceae,Laeliocattleya,calimaniana,,,(L.C.Menezes) Van den Berg,(L.C.Menezes) Van den Berg
Orchidaceae,Serapicamptis,capitata,,,"(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr.","(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr."
Poaceae,Agroelymus,cayouetteorum,,,B.Boivin,B.Boivin
Poaceae,Elyhordeum,chatangense,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Poaceae,Elyhordeum,chatangensis,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Orchidaceae,Dactylanthera,chevallieriana,,,(E.G.Camus) J.M.H.Shaw,(E.G.Camus) J.M.H.Shaw
Orchidaceae,Gymplatanthera,chodatii,,,"(Lendn. ex Schroet.) E.G.Camus, Bergon & A.Camus","(Lendn. ex Schroet.) E.G.Camus, Bergon & A.Camus"
Compositae,Cirsiocarduus,cirsiformis,,,(Vuk.) Arnes,(Vuk.) Arnes
Poaceae,Bromofestuca,cojocnensis,,,Prodn,Prodn
Poaceae,Agroelymus,colvillensis,,,Lepage,Lepage
Orchidaceae,Serapicamptis,correvonii,,,(E.G.Camus & A.Camus) J.M.H.Shaw,(E.G.Camus & A.Camus) J.M.H.Shaw
Orchidaceae,Serapicamptis,cytherea,,,"(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr.","(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr."
Poaceae,Agrotrigia,czernjaewii,,,(irj. & Lavrenko) Sutor,(irj. & Lavrenko) Sutor
Poaceae,Trititrigia,cziczinii,,,Tzvelev,Tzvelev
Poaceae,Pucciphippsia,czukczorum,,,Tzvelev,Tzvelev
Poaceae,Elyhordeum,dakotense,,,(Bowden) Bowden,(Bowden) Bowden
Orchidaceae,Serapicamptis,debeauxii,,,(E.G.Camus) J.M.H.Shaw,(E.G.Camus) J.M.H.Shaw
Compositae,Argyrautia,degeneri,,,Sherff,Sherff
Poaceae,Dupontopoa,dezhnevii,,,Prob.,Prob.
Compositae,Anthematricaria,dominii,,,Rohlena,Rohlena
Poaceae,Calammophila,don-hensonii,,,Reznicek & Judz.,Reznicek & Judz.
Poaceae,Agroelymus,dorei,,,Bowden,Bowden
Orchidaceae,Serapicamptis,ducoroniae,,,(P.Delforge) J.M.H.Shaw,(P.Delforge) J.M.H.Shaw
Orchidaceae,Serapicamptis,duffortii,,,"(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr.","(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr."
Poaceae,Elyhordeum,dutillyanum,,,(Lepage) Bowden,(Lepage) Bowden
Poaceae,Leydeum,dutillyanum,,,(Lepage) Barkworth,(Lepage) Barkworth
Amaryllidaceae,Urceocharis,edentata,,,C.H.Wright,C.H.Wright
Bromeliaceae,Niduregelia,edmundoi,,,(Leme) Leme,(Leme) Leme
Poaceae,Elyhordeum,elymoides,,,(Hack.) Hunz. & Xifreda,(Hack.) Hunz. & Xifreda
Orchidaceae,Dactylodenia,engelii,,,"M.Gerbaud, O.Gerbaud & J.M.Lewin","M.Gerbaud, O.Gerbaud & J.M.Lewin"
Poaceae,Aegilotriticum,erebunii,,,(Gandilyan) van Slageren,(Gandilyan) van Slageren
Orchidaceae,Dactylodenia,ettlingeriana,,,M.J.Clark & L.Lewis,M.J.Clark & L.Lewis
Orchidaceae,Dactylodenia,evansii,,,(Druce) Stace,(Druce) Stace
Rosaceae,Sorbaronia,fallax,,,(C.K.Schneid.) C.K.Schneid.,(C.K.Schneid.) C.K.Schneid.
Orchidaceae,Brassocattleya,felisminiana,,,Campacci,Campacci
Orchidaceae,Pseudorhiza,foelscheorum,,,M.Gerbaud & O.Gerbaud,M.Gerbaud & O.Gerbaud
Orchidaceae,Serapicamptis,fontanae,,,"(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr.","(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr."
Orchidaceae,Serapicamptis,forbesii,,,Godfery,Godfery
Orchidaceae,Dactylanthera,fournieri,,,(E.Royer) J.M.H.Shaw,(E.Royer) J.M.H.Shaw
Bromeliaceae,Niduregelia,fraudulenta,,,(Leme) Leme,(Leme) Leme
Poaceae,Festulolium,fredericii,,,Cugnac & A.Camus,Cugnac & A.Camus
Orchidaceae,Dactylodenia,fuchsii,,,(G.Keller & So) Peitz,(G.Keller & So) Peitz
Orchidaceae,Myrmecolaelia,fuchsii,,,Hamer ex J.M.H.Shaw,Hamer ex J.M.H.Shaw
Orchidaceae,Serapicamptis,garbariorum,,,(Murr) J.M.H.Shaw,(Murr) J.M.H.Shaw
Compositae,Crepi-Hieracium,garnieri,,,(Petitm.) P.Fourn.,(Petitm.) P.Fourn.
Poaceae,Elymotrigia,gigantea,,,Kotukhov,Kotukhov
Orchidaceae,Cyanthera,glossodioides,,,Hopper & A.P.Br.,Hopper & A.P.Br.
Poaceae,Trisetokoeleria,gorodkovii,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Rosaceae,Crataemespilus,grandiflora,,,(Sm.) E.G.Camus,(Sm.) E.G.Camus
Poaceae,Aegilotriticum,grenieri,,,(K.Richt.) P.Fourn.,(K.Richt.) P.Fourn.
Poaceae,Agrotrigia,hajastanica,,,(Tzvelev) Tzvelev,(Tzvelev) Tzvelev
Poaceae,Elysitanion,hansenii,,,(Scribn.) Bowden,(Scribn.) Bowden
Campanulaceae,Fockeanthus,hausmannii,,,(Rchb.f.) Wehrh.,(Rchb.f.) Wehrh.
Compositae,Cirsiocarduus,hohenackeri,,,Arnes,Arnes
Poaceae,Festulolium,holmbergii,,,(Drfl.) P.Fourn.,(Drfl.) P.Fourn.
Lamiaceae,Clinomicromeria,hostii,,,(Caruel) Govaerts,(Caruel) Govaerts
Poaceae,Festulpia,hubbardii,,,Stace & R.Cotton,Stace & R.Cotton
Poaceae,Agroelymus,hultenii,,,Melderis,Melderis
Hypoxidaceae,Rhodoxis,hybrida,,,B.Mathew,B.Mathew
Orchidaceae,Cephalopactis,hybrida,,,(Jv.) Domin,(Jv.) Domin
Rosaceae,Sorbaronia,hybrida,,,(Moench) C.K.Schneid.,(Moench) C.K.Schneid.
Aizoaceae,Carruanthophyllum,hybridum,,,(Haw.) G.D.Rowley,(Haw.) G.D.Rowley
Orchidaceae,Pseudorhiza,illyrica,,,(Hartmut Jahn & Kmpel) Seckel,(Hartmut Jahn & Kmpel) Seckel
Compositae,Anthemimatricaria,inolens,,,P.Fourn.,P.Fourn.
Orchidaceae,Catyclia,intermedia,,,(F.E.L.Miranda) Van den Berg,(F.E.L.Miranda) Van den Berg
Orchidaceae,Dactylanthera,intermedia,,,(Bernacki) J.M.H.Shaw,(Bernacki) J.M.H.Shaw
Poaceae,Elyhordeum,iowense,,,R.W.Pohl,R.W.Pohl
Bromeliaceae,Hohenmea,itaipuana,,,B.R.Silva & L.F.Sousa,B.R.Silva & L.F.Sousa
Rosaceae,Amelasorbus,jackii,,,Rehder,Rehder
Rosaceae,Sorbaronia,jackii,,,Rehder,Rehder
Orchidaceae,Dactylodenia,jeanjeanii,,,(G.Keller) Aver.,(G.Keller) Aver.
Poaceae,Elyhordeum,jordalii,,,(Melderis) Tzvelev,(Melderis) Tzvelev
Poaceae,Trisetokoeleria,jurtzevii,,,Prob.,Prob.
Poaceae,Elymotrigia,kalbica,,,Kotukhov,Kotukhov
Poaceae,Elymotrigia,karakabinica,,,Kotukhov,Kotukhov
Compositae,Carduocirsium,khekii,,,(Petitm.) P.Fourn.,(Petitm.) P.Fourn.
Orchidaceae,Dactylodenia,klingeana,,,(Asch. & Graebn.) Peitz,(Asch. & Graebn.) Peitz
Poaceae,Elyhordeum,kolymense,,,Prob.,Prob.
Poaceae,Leymostachys,korovinii,,,Tzvelev,Tzvelev
Poaceae,Agrotrigia,kotovii,,,Tzvelev,Tzvelev
Poaceae,Elymotrigia,kurtczumica,,,Kotukhov,Kotukhov
Poaceae,Dupoa,labradorica,,,(Steud.) J.Cay. & Darbysh.,(Steud.) J.Cay. & Darbysh.
Orchidaceae,Orchimantoglossum,lacazei,,,(E.G.Camus & A.Camus) Asch. & Graebn.,(E.G.Camus & A.Camus) Asch. & Graebn.
Orchidaceae,Dactylodenia,lawalreei,,,P.Delforge & D.Tyteca,P.Delforge & D.Tyteca
Orchidaceae,Dactylodenia,lebrunii,,,(E.G.Camus) Peitz,(E.G.Camus) Peitz
Orchidaceae,Dactylodenia,legrandiana,,,(E.G.Camus) Peitz,(E.G.Camus) Peitz
Poaceae,Elymotrigia,leninogorica,,,Kotukhov,Kotukhov
Orchidaceae,Serapicamptis,ligustica,,,(E.G.Camus) J.M.H.Shaw,(E.G.Camus) J.M.H.Shaw
Orchidaceae,Brassocattleya,lindleyana,,,Rolfe,Rolfe
Orchidaceae,Brassocattleya,litoralis,,,Campacci,Campacci
Poaceae,Elymordeum,littorale,,,Hodgs. & W.W.Mitch.,Hodgs. & W.W.Mitch.
Orchidaceae,Sedirisia,liukiuensis,,,(Schltr.) J.M.H.Shaw,(Schltr.) J.M.H.Shaw
Poaceae,Festulolium,loliaceum,,,(Huds.) P.Fourn.,(Huds.) P.Fourn.
Apiaceae,Anthrichaerophyllum,loretii,,,(Rouy & E.G.Camus) P.Fourn.,(Rouy & E.G.Camus) P.Fourn.
Poaceae,Aegilotriticum,loretii,,,(K.Richt.) P.Fourn.,(K.Richt.) P.Fourn.
Compositae,Carduogalactites,ludoviciae,,,P.Fourn.,P.Fourn.
Compositae,Solidaster,lutens,,,M.L.Green,M.L.Green
Compositae,Cirsiocarduus,lutetianus,,,Arnes,Arnes
Compositae,Solidaster,luteus,,,(Everett) M.L.Green ex Dress,(Everett) M.L.Green ex Dress
Poaceae,Agropogon,lutosus,,,(Poir.) P.Fourn.,(Poir.) P.Fourn.
Bromeliaceae,Niduregelia,lyman-smithii,,,(Leme) Leme,(Leme) Leme
Poaceae,Cynochloris,macivorii,,,Clifford & Everist,Clifford & Everist
Poaceae,Agrohordeum,macounii,,,(Vasey) Lepage,(Vasey) Lepage
Poaceae,Polypogonagrostis,major,,,(Hack.) Maire & Weiller,(Hack.) Maire & Weiller
Compositae,Anthemimatricaria,maleolens,,,P.Fourn.,P.Fourn.
Cyperaceae,Bolboschoenoplectus,mariqueter,,,(Tang & F.T.Wang) Tatanov,(Tang & F.T.Wang) Tatanov
Orchidaceae,Dactylanthera,martysiensis,,,(Balayer) J.M.H.Shaw,(Balayer) J.M.H.Shaw
Orchidaceae,Sudacaste,mathiasiae,,,(G.C.Kenn.) Archila & Chiron,(G.C.Kenn.) Archila & Chiron
Poaceae,Festulpia,melderisii,,,Stace & R.Cotton,Stace & R.Cotton
Orchidaceae,Laeliocattleya,menezesiana,,,Van den Berg,Van den Berg
Orchidaceae,Laeliocattleya,micheliniana,,,(Campacci) Van den Berg,(Campacci) Van den Berg
Compositae,Filfia,mixta,,,(Holuby) Holub,(Holuby) Holub
Orchidaceae,Anacamptorchis,morioides,,,(Brand) Stace,(Brand) Stace
Poaceae,Agroelymus,mossii,,,Lepage,Lepage
Compositae,Centauserratula,mouterdei,,,Arnes,Arnes
Orchidaceae,Serapicamptis,mutata,,,(E.G.Camus) J.M.H.Shaw,(E.G.Camus) J.M.H.Shaw
Orchidaceae,Serapicamptis,myrtoa,,,(Kalop. & Aperghis) J.M.H.Shaw,(Kalop. & Aperghis) J.M.H.Shaw
Arecaceae,Butyagrus,nabonnandii,,,(Prosch.) Vorster,(Prosch.) Vorster
Orchidaceae,Serapicamptis,nelsoniana,,,(Bianco & al.) J.M.H.Shaw,(Bianco & al.) J.M.H.Shaw
Poaceae,Triticosecale,neoblaringhemii,,,A.Camus,A.Camus
Orchidaceae,Pseudorhiza,nieschalkii,,,(Senghas) P.F.Hunt,(Senghas) P.F.Hunt
Poaceae,Festulolium,nilssonii,,,Cugnac & A.Camus,Cugnac & A.Camus
Poaceae,Oryticum,oryzoides,,,C.P.Wang & S.H.Tang,C.P.Wang & S.H.Tang
Poaceae,Leymotrigia,pacifica,,,Prob.,Prob.
Poaceae,Agroelymus,palmerensis,,,Lepage,Lepage
Compositae,Carduocirsium,parisiense,,,(E.G.Camus) P.Fourn.,(E.G.Camus) P.Fourn.
Compositae,Cirsiocarduus,parisiensis,,,P.Fourn.,P.Fourn.
Poaceae,Hainardiopholis,pauneroi,,,Castrov.,Castrov.
Poaceae,Elyhordeum,pavlovii,,,(Nevski) Tzvelev,(Nevski) Tzvelev
Orchidaceae,Anacamptiplatanthera,payotii,,,P.Fourn.,P.Fourn.
Orchidaceae,Laeliocattleya,pernambucensis,,,(L.C.Menezes) J.M.H.Shaw,(L.C.Menezes) J.M.H.Shaw
Poaceae,Elyhordeum,pilosilemma,,,(W.W.Mitch. & H.J.Hodgs.) Barkworth,(W.W.Mitch. & H.J.Hodgs.) Barkworth
Poaceae,Agrositanion,pinalenoensis,,,Pyrah,Pyrah
Poaceae,Elyhordeum,piperi,,,(Bowden) Bowden,(Bowden) Bowden
Poaceae,Leydeum,piperi,,,(Bowden) Barkworth,(Bowden) Barkworth
Orchidaceae,Serapicamptis,pisanensis,,,(Godfery) J.M.H.Shaw,(Godfery) J.M.H.Shaw
Rosaceae,Sorbocotoneaster,pozdnjakovii,,,Pojark.,Pojark.
Orchidaceae,Dactylodenia,raetica,,,Parox & H.R.Reinhard ex W.J.Schrenk,Parox & H.R.Reinhard ex W.J.Schrenk
Orchidaceae,Bensteinia,ramonensis,,,Pupulin,Pupulin
Orchidaceae,Orchinea,razzarae,,,(Galesi) F.M.Vzquez,(Galesi) F.M.Vzquez
Orchidaceae,Dactylodenia,regeliana,,,(Brgger) Peitz,(Brgger) Peitz
Poaceae,Cynochloris,reynoldsensis,,,B.K.Simon,B.K.Simon
Poaceae,Triticale,rimpaui,,,(Wittm.) Muntz,(Wittm.) Muntz
Orchidaceae,Ornithocidium,roczonii,,,Leinig,Leinig
Poaceae,Aegilotriticum,rodetii,,,(Trab.) van Slageren,(Trab.) van Slageren
Poaceae,Leymotrigia,roshevitzii,,,Tzvelev,Tzvelev
Orchidaceae,Serapicamptis,rousii,,,(Du Puy) J.M.H.Shaw,(Du Puy) J.M.H.Shaw
Compositae,Celmearia,ruawahia,,,Heenan,Heenan
Orchidaceae,Brassocattleya,rubyi,,,Braga,Braga
Orchidaceae,Miltonidium,salvadoi,,,Pabst & A.F.Mello,Pabst & A.F.Mello
Orchidaceae,Serapirhiza,sambucinolingua,,,(Barla) Garay & H.R.Sweet,(Barla) Garay & H.R.Sweet
Poaceae,Aegilotriticum,sancti-andreae,,,(Degen) So,(Degen) So
Poaceae,Elyhordeum,schaackianum,,,(Bowden) Bowden,(Bowden) Bowden
Poaceae,Triticosecale,schlanstedtense,,,Wittm.,Wittm.
Poaceae,Elyhordeum,schmidii,,,(Melderis) Melderis,(Melderis) Melderis
Orchidaceae,Pseudadenia,schweinfurthii,,,(Hegelm. ex A.Kern.) P.F.Hunt,(Hegelm. ex A.Kern.) P.F.Hunt
Poaceae,Arctodupontia,scleroclada,,,(Rupr.) Tzvelev,(Rupr.) Tzvelev
Poaceae,Triticosecale,semisecale,,,(Mackey) K.Hammer & Filat.,(Mackey) K.Hammer & Filat.
Orchidaceae,Serapicamptis,sonii,,,"(M.Hirth & H.Spaeth) H.Kretzschmar, Eccarius & H.Dietr.","(M.Hirth & H.Spaeth) H.Kretzschmar, Eccarius & H.Dietr."
Rosaceae,Sorbaronia,sorbifolia,,,(hort. ex Poir.) C.K.Schneid.,(hort. ex Poir.) C.K.Schneid.
Orchidaceae,Cephalopactis,speciosa,,,(Wettst.) Asch. & Graebn.,(Wettst.) Asch. & Graebn.
Poaceae,Aegilotriticum,speltiforme,,,(Jord.) van Slageren,(Jord.) van Slageren
Poaceae,Elyhordeum,stebbinsianum,,,Bowden,Bowden
Orchidaceae,Dactylodenia,st-quintinii,,,(Godfery) J.Duvign.,(Godfery) J.Duvign.
Orchidaceae,Pseudadenia,strampfii,,,(Asch.) P.F.Hunt,(Asch.) P.F.Hunt
Poaceae,Leymotrigia,stricta,,,(Dethard.) Tzvelev,(Dethard.) Tzvelev
Compositae,Anthemimatricaria,sulfurea,,,P.Fourn.,P.Fourn.
Orchidaceae,Dactylodenia,sursesis,,,C.Boillat & V.Boillat,C.Boillat & V.Boillat
Orchidaceae,Cephalorchis,sussana,,,F.M.Vzquez,F.M.Vzquez
Poaceae,Trisetokoeleria,taimyrica,,,Tzvelev,Tzvelev
Orchidaceae,Serapicamptis,timbali,,,"(K.Richt.) H.Kretzschmar, Eccarius & H.Dietr.","(K.Richt.) H.Kretzschmar, Eccarius & H.Dietr."
Orchidaceae,Serapicamptis,tommasinii,,,(A.Kern.) J.M.H.Shaw,(A.Kern.) J.M.H.Shaw
Orchidaceae,Dactylodenia,toussaintiorum,,,D.Tyteca & Gathoye,D.Tyteca & Gathoye
Poaceae,Phyllosasa,tranquillans,,,(Koidz.) Demoly,(Koidz.) Demoly
Orchidaceae,Serapicamptis,traverseriana,,,S.Baumann,S.Baumann
Orchidaceae,Serapicamptis,triloba,,,(Viv.) J.M.H.Shaw,(Viv.) J.M.H.Shaw
Poaceae,Elyhordeum,triploideum,,,(Bowden) Bowden,(Bowden) Bowden
Poaceae,Aegilotriticum,triticoides,,,(Req. ex Bertol.) van Slageren,(Req. ex Bertol.) van Slageren
Poaceae,Haynaldoticum,turgidovillosum,,,Cif. & Giacom.,Cif. & Giacom.
Poaceae,Agroelymus,turneri,,,Lepage,Lepage
Orchidaceae,Calassodia,tutelata,,,(R.S.Rogers) M.A.Clem.,(R.S.Rogers) M.A.Clem.
Poaceae,Elyleymus,ucluetensis,,,(Bowden) B.R.Baum,(Bowden) B.R.Baum
Poaceae,Agroelymus,ungavensis,,,(Louis-Marie) Lepage,(Louis-Marie) Lepage
Poaceae,Agrotrigia,urunchaica,,,Kotukhov,Kotukhov
Poaceae,Pucciphippsia,vacillans,,,(Th.Fr.) Tzvelev,(Th.Fr.) Tzvelev
Orchidaceae,Gymnotraunsteinera,vallesiaca,,,(Spiess) P.F.Hunt,(Spiess) P.F.Hunt
Orchidaceae,Dactylodenia,varia,,,(T.Stephenson & T.A.Stephenson) Aver.,(T.Stephenson & T.A.Stephenson) Aver.
Orchidaceae,Pseudadenia,vitosana,,,(H.Baumann) O.Gerbaud & W.Schmid,(H.Baumann) O.Gerbaud & W.Schmid
Orchidaceae,Dactylodenia,vitosensis,,,Jagiello,Jagiello
Orchidaceae,Dactylodenia,vollmannii,,,(M.Schulze) Peitz,(M.Schulze) Peitz
Orchidaceae,Dactylocamptis,weberi,,,(M.Schulze) So,(M.Schulze) So
Poaceae,Leymotrigia,wiluica,,,(Drobow) Tzvelev,(Drobow) Tzvelev
Orchidaceae,Dactylodenia,wintonii,,,(Druce) Peitz,(Druce) Peitz
Orchidaceae,Psytonia,yumanensis,,,(Withner) J.M.H.Shaw,(Withner) J.M.H.Shaw
Poaceae,Leymotrigia,zarubinii,,,Peschkova,Peschkova
Orchidaceae,Dactylodenia,zollikoferi,,,(Stoj.) Peitz,(Stoj.) Peitz
Rosaceae,Spiraea,bumalda,f.,froebelii,(Froebel) Rehder,(Froebel) Rehder
Rosaceae,Spiraea,bumalda,f.,pruhoniciana,(Kriechb.) Rehder,(Kriechb.) Rehder
Rosaceae,Rosa,damascena,f.,trigintipetala,(Dieck) R.Keller,(Dieck) R.Keller
Rosaceae,Rosa,damascena,f.,versicolor,(Weston) Rehder,(Weston) Rehder
Rosaceae,Spiraea,fontenaysii,f.,alba,Zabel,Zabel
Rosaceae,Rosa,noisettiana,f.,manettii,(Crivelli ex Rivers) Rehder,(Crivelli ex Rivers) Rehder
Rosaceae,Rosa,odorata,f.,ochroleuca,(Lindl.) Rehder,(Lindl.) Rehder
Rosaceae,Chaenomeles,superba,f.,alba,(Froebel ex Olbrich) Rehder,(Froebel ex Olbrich) Rehder
Rosaceae,Chaenomeles,superba,f.,perfecta,(Froebel ex Olbrich) Rehder,(Froebel ex Olbrich) Rehder
Rosaceae,Chaenomeles,superba,f.,rosea,(Froebel ex Olbrich) Rehder,(Froebel ex Olbrich) Rehder
Salicaceae,Salix,ampherista,subsp.,yamatensis,(Koidz.) H.Ohashi & Yonek.,(Koidz.) H.Ohashi & Yonek.
Compositae,Achillea,graja,var.,albertina,Beauverd & Bonati,Beauverd & Bonati
Rosaceae,Rosa,harisonii,var.,vorbergii,(Graebn. ex Spth) Rehder,(Graebn. ex Spth) Rehder
Rosaceae,Rosa,odorata,var.,erubescens,(Focke) T.T.Yu & T.C.Ku,(Focke) T.T.Yu & T.C.Ku
Rosaceae,Rosa,odorata,var.,pseudindica,(Lindl.) Rehder,(Lindl.) Rehder
Rosaceae,Sanguisorba,tenuifolia,var.,grandiflora,Maxim.,Maxim.
Rosaceae,Rosa,waitziana,var.,macrantha,(N.H.F.Desp.) Rehder,(N.H.F.Desp.) Rehder
Orchidaceae,Dactylorhiza,abantiana,,,H.Baumann & Knkele,H.Baumann & Knkele
Rosaceae,Crataegus,aberrans,,,(Lange) K.I.Chr.,(Lange) K.I.Chr.
Amaryllidaceae,Narcissus,abilioi,,,Fern.Casas,Fern.Casas
Brassicaceae,Draba,abiskoensis,,,O.E.Schulz,O.E.Schulz
Brassicaceae,Draba,abiskojokkensis,,,O.E.Schulz,O.E.Schulz
Cyperaceae,Carex,abitibiana,,,Lepage,Lepage
Cyperaceae,Carex,abortiva,,,Holmb.,Holmb.
Verbenaceae,Stachytarpheta,abortiva,,,Danser,Danser
Compositae,Carduus,abruzzensis,,,Arnes,Arnes
Cyperaceae,Carex,absconditiformis,,,Fernald,Fernald
Potamogetonaceae,Potamogeton,absconditus,,,"Z.Kaplan, Fehrer & Hellq.","Z.Kaplan, Fehrer & Hellq."
Liliaceae,Gagea,absurda,,,Levichev,Levichev
Cornaceae,Cornus,acadiensis,,,Fernald,Fernald
Lamiaceae,Sideritis,accidentalis,,,Snchez-Gmez & R.Morales,Snchez-Gmez & R.Morales
Poaceae,Schedonorus,achersonianus,,,(Drfl.) Holub,(Drfl.) Holub
Gesneriaceae,Eucodonopsis,achimenoides,,,(Bartik) H.E. Moore,(Bartik) H.E. Moore
Orchidaceae,Anguloa,acostae,,,Oakeley,Oakeley
Verbenaceae,Lantana,aculeata,,,L.,L.
Lamiaceae,Galeopsis,acuminata,,,Rchb.,Rchb.
Salicaceae,Populus,acuminata,,,Rydb.,Rydb.
Orchidaceae,Oncidium,acuminatissimum,,,(Rchb.f.) M.W.Chase & N.H.Williams,(Rchb.f.) M.W.Chase & N.H.Williams
Fagaceae,Quercus,acutidens,,,Torr.,Torr.
Poaceae,Calamagrostis,acutiflora,,,(Schrad.) DC.,(Schrad.) DC.
Poaceae,Agropyron,acutiforme,,,Rouy,Rouy
Poaceae,Agropyron,acutum,,,(DC.) Roem. & Schult.,(DC.) Roem. & Schult.
Lamiaceae,Origanum,adanense,,,Baser & H.Duman,Baser & H.Duman
Myrtaceae,Eucalyptus,adjuncta,,,Maiden,Maiden
Lamiaceae,Origanum,adonidis,,,Mouterde,Mouterde
Orchidaceae,Oncidium,adrianae,,,(L.Linden) M.W.Chase & N.H.Williams,(L.Linden) M.W.Chase & N.H.Williams
Violaceae,Viola,adriatica,,,Freyn,Freyn
Orchidaceae,Cattleya,adrienne,,,(Rolfe) Van den Berg,(Rolfe) Van den Berg
